UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação,Tipo
29,15344447,38,0.022896337931401528,0.042063155015484216,0.07727475962128029,Bahia,Estado
29,15344447,39,0.013394104027881088,0.02609611763104964,0.05084381560692666,Bahia,Estado
29,15344447,40,0.0073218255905442686,0.017973039586146995,0.044118799057762656,Bahia,Estado
29,15344447,41,0.01937626627938175,0.03735839622408678,0.0720288288936744,Bahia,Estado
29,15344447,42,0.010199193348663921,0.022473285738670287,0.04951848196485869,Bahia,Estado
29,15344447,43,0.006658114361837189,0.015219832110609408,0.034791125067310996,Bahia,Estado
29,15344447,44,0.025540528483127222,0.04084263130413444,0.06531268657762773,Bahia,Estado
29,15344447,45,0.010212985319897002,0.0265205839360627,0.06886736348670673,Bahia,Estado
29,15344447,46,0.007649392621410234,0.013260291968031348,0.022986837227479087,Bahia,Estado
29,15344447,47,0.0068508030232512646,0.025433850963541938,0.0944240803071091,Bahia,Estado
29,15344447,48,0.009046017687207206,0.02090485590616181,0.04830998739648809,Bahia,Estado
29,15344447,49,0.0061193407921497096,0.018340980311715514,0.05497186220226224,Bahia,Estado
29,15344447,50,0.006103736267568025,0.009527578836065538,0.014871998805022464,Bahia,Estado
29,15344447,51,0.003426029580521256,0.01325802952449475,0.05130584624013404,Bahia,Estado
29,15344447,52,0.006396423561099695,0.009406277398562219,0.013832425831958348,Bahia,Estado
31,21119536,1,0.051553301461474375,0.10221854571220873,0.20267627467713456,Minas Gerais,Estado
31,21119536,2,0.025934307820623555,0.07130129209973134,0.1960289162237982,Minas Gerais,Estado
31,21119536,3,0.015427005568466585,0.05523358583883456,0.19775380199847456,Minas Gerais,Estado
31,21119536,4,0.03117954099773697,0.07392603350800597,0.17527706487479974,Minas Gerais,Estado
31,21119536,5,0.07163912281396434,0.1095474062584725,0.16751509156697242,Minas Gerais,Estado
31,21119536,6,0.02487869842191408,0.06834123751737005,0.18773187673241046,Minas Gerais,Estado
31,21119536,7,0.033727173992007385,0.09050564446145169,0.24286860444708042,Minas Gerais,Estado
31,21119536,8,0.03452277774314901,0.08461631724983122,0.20739701765003418,Minas Gerais,Estado
31,21119536,9,0.03272191442680658,0.10739353384933865,0.3524662696141223,Minas Gerais,Estado
31,21119536,10,0.10714867778634057,0.15668224409319606,0.2291145921840712,Minas Gerais,Estado
31,21119536,11,0.04414847226093057,0.12721030739574457,0.36654637134614015,Minas Gerais,Estado
31,21119536,12,0.11719429594417918,0.1764896715125082,0.2657860086077008,Minas Gerais,Estado
31,21119536,13,0.059100067137064415,0.13761237357069148,0.3204254458094035,Minas Gerais,Estado
31,21119536,14,0.034884456793524206,0.12438166788410841,0.4434868915173872,Minas Gerais,Estado
31,21119536,15,0.07952649237293852,0.1854409090744132,0.43241352324557614,Minas Gerais,Estado
