Sigla,Sexo,Ano,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
,,2029,2354532,171541,182653,196320,208046,214976,211420,202916,184967,165115,156073,129593,103018,79626,61475,41102,24946,12416,5557,2772
,,2030,2374724,169628,180148,193567,206246,214137,213602,203457,189027,166932,159005,134102,107016,82209,63909,43219,26498,13268,5846,2908
,F,2000,1415472,201210,187491,168578,167039,145297,120063,95322,81897,65186,50401,36363,28231,22475,16964,12039,8221,4530,2567,1598
,,2001,1452635,202044,191529,171307,168824,150576,125199,99316,84483,68274,53077,38490,29240,23162,17598,12391,8426,4652,2342,1705
,,2002,1489992,202713,195132,175142,169181,156040,130215,103970,86700,71584,55687,40931,30317,23872,18256,12821,8613,4837,2257,1724
,,2003,1527397,203295,198111,179711,168864,161252,135164,109084,88853,74953,58297,43584,31538,24622,18928,13315,8806,5057,2260,1703
,,2004,1564712,203934,200260,184351,169084,165540,140176,114308,91419,78131,61015,46292,33004,25436,19593,13857,9042,5282,2319,1669
,,2005,1601846,204948,201262,188594,170590,168531,145293,119418,94684,80983,63905,48957,34772,26337,20249,14434,9338,5503,2411,1637
,,2006,1638696,205537,201966,192470,173197,170263,150492,124441,98583,83533,66964,51583,36831,27315,20915,15037,9694,5719,2537,1619
,,2007,1675171,205660,202504,195907,176908,170563,155867,129343,103134,85718,70241,54150,39189,28359,21603,15662,10111,5928,2700,1624
,,2008,1711179,205377,202953,198714,181350,170187,160983,134173,108135,87842,73578,56715,41751,29537,22325,16298,10582,6144,2885,1650
,,2009,1746661,204746,203458,200690,185863,170348,165169,139061,113244,90371,76725,59385,44366,30948,23106,16931,11091,6391,3074,1694
,,2010,1781558,203823,204334,201516,189972,171792,168056,144044,118236,93589,79551,62225,46937,32641,23965,17556,11628,6681,3261,1751
,,2011,1816023,202677,204808,202070,193726,174351,169705,149121,123157,97437,82088,65234,49480,34609,24901,18188,12184,7011,3447,1829
,,2012,1850116,201369,204850,202505,197067,178033,169967,154396,127980,101937,84277,68459,51980,36860,25903,18838,12759,7377,3624,1935
,,2013,1883725,199924,204517,202883,199804,182461,169587,159436,132752,106887,86409,71746,54482,39309,27031,19519,13338,7777,3803,2060
,,2014,1916826,198347,203870,203356,201742,186973,169764,163584,137599,111956,88947,74853,57095,41810,28376,20254,13911,8200,3997,2192
,,2015,1949359,196620,202963,204237,202573,191098,171240,166475,142564,116925,92162,77654,59878,44280,29982,21057,14474,8640,4212,2325
,,2016,1981297,194690,201850,204727,203153,194879,173832,168153,147633,121835,95996,80175,62822,46731,31841,21931,15041,9093,4449,2466
,,2017,2012579,192527,200574,204790,203608,198247,177536,168455,152903,126648,100468,82356,65978,49143,33963,22863,15627,9563,4713,2617
,,2018,2043145,190171,199162,204479,204010,201009,181977,168120,157940,131411,105384,84484,69195,51562,36272,23911,16238,10038,5002,2780
,,2019,2072980,187656,197615,203851,204502,202971,186503,168338,162090,136250,110419,87008,72238,54090,38629,25155,16896,10510,5305,2954
,,2020,2102089,185025,195919,202962,205400,203826,190641,169844,164999,141204,115359,90198,74986,56779,40961,26635,17613,10977,5619,3142
,,2021,2130425,182364,194011,201854,205900,204418,194427,172446,166696,146255,120233,93989,77463,59623,43276,28340,18391,11448,5945,3346
,,2022,2157990,179741,191865,200578,205960,204875,197789,176139,167022,151496,125004,98401,79610,62666,45557,30276,19220,11935,6286,3570
,,2023,2184844,177173,189526,199164,205642,205278,200546,180566,166717,156507,129729,103246,81709,65771,47850,32381,20148,12446,6632,3813
,,2024,2211001,174680,187029,197616,205006,205770,202507,185077,166959,160641,134530,108207,84196,68711,50249,34535,21244,12996,6978,4070
,,2025,2236452,172280,184414,195915,204104,206667,203365,189204,168476,163545,139445,113079,87328,71369,52798,36670,22544,13590,7319,4340
,,2026,2261184,169989,181765,194003,202981,207161,203967,192981,171079,165248,144456,117888,91044,73772,55495,38791,24040,14235,7664,4625
,,2027,2285197,167812,179157,191852,201686,207210,204433,196338,174762,165591,149658,122600,95358,75864,58379,40887,25736,14920,8025,4929
,,2028,2308550,165757,176601,189508,200252,206878,204843,199094,179172,165309,154629,127267,100094,77911,61322,43000,27573,15688,8406,5246
,,2029,2331250,163820,174119,187008,198680,206223,205341,201060,183666,165565,158734,132009,104944,80330,64112,45211,29455,16590,8813,5570
,,2030,2353303,161989,171733,184389,196954,205301,206240,201929,187781,167084,161623,136865,109708,83372,66639,47562,31325,17657,9253,5899
,Total,2000,2872524,407544,380967,341901,336353,292814,243521,196800,169407,134588,104321,74591,56499,44494,33643,23865,15863,8399,4399,2555
,,2001,2946727,409695,388903,347660,340216,303214,253324,204318,174721,140876,109728,79074,58642,45753,34713,24467,16170,8616,4043,2594
,,2002,3021363,411637,395900,355541,341337,313988,263002,212965,179278,147647,114946,84171,60982,47074,35834,25195,16473,8930,3927,2536
,,2003,3096127,413550,401571,364805,341172,324298,272636,222423,183631,154557,120140,89667,63644,48505,36992,26025,16809,9292,3957,2453
,,2004,3170740,415747,405490,374147,342059,332860,282430,232132,188644,161079,125585,95227,66799,50112,38158,26933,17227,9659,4074,2378
,,2005,3244995,418904,406987,382644,345434,338969,292437,241730,194848,166914,131439,100654,70531,51947,39330,27897,17752,10014,4238,2326
,,2006,3318679,420182,409017,390344,350932,342673,302626,251259,202133,172111,137676,105960,74823,53988,40540,28912,18370,10371,4451,2311
,,2007,3391594,420520,410837,397096,358544,343633,313165,260659,210527,176566,144386,111095,79694,56213,41807,29972,19089,10730,4721,2340
,,2008,3463562,420024,412628,402514,367535,343304,323224,270008,219713,180822,151235,116207,84945,58735,43172,31064,19887,11116,5020,2409
,,2009,3534456,418820,414700,406179,376600,344025,331524,279509,229142,185722,157705,121564,90258,61718,44694,32165,20746,11554,5322,2509
,,2010,3604165,417019,417725,407420,384813,347219,337374,289205,238452,191794,163503,127318,95443,65235,46418,33267,21646,12065,5617,2632
,,2011,3672969,414748,418905,409237,392262,352565,340882,299110,247730,198937,168689,133454,100531,69274,48333,34400,22581,12631,5915,2785
,,2012,3740976,412122,419189,410927,398825,360067,341759,309422,256939,207191,173161,140061,105485,73853,50423,35578,23544,13249,6208,2973
,,2013,3807921,409194,418672,412639,404112,368982,341427,319307,266144,216245,177437,146800,110430,78794,52783,36836,24518,13912,6507,3182
,,2014,3873743,405980,417479,414687,407714,378012,342186,327517,275548,225567,182352,153173,115621,83802,55561,38228,25487,14602,6830,3397
,,2015,3938336,402454,415721,417733,408973,386242,345446,333373,285198,234811,188412,158896,121202,88711,58824,39791,26450,15312,7181,3606
,,2016,4001667,398509,413511,418949,410841,393739,350855,336948,295075,244054,195524,164023,127150,93546,62561,41524,27430,16041,7562,3825
,,2017,4063614,394089,410945,419272,412577,400355,358392,337923,305354,253230,203723,168458,133549,98258,66792,43405,28455,16796,7982,4059
,,2018,4124033,389272,408076,418794,414338,405700,367325,337703,315212,262400,212710,172714,140079,102973,71360,45527,29544,17561,8435,4310
,,2019,4182899,384132,404916,417636,416429,409362,376371,338562,323413,271771,221963,177595,146260,107929,75992,48018,30744,18327,8903,4576
,,2020,4240210,378749,401445,415912,419509,410691,384628,341885,329299,281382,231147,183598,151822,113252,80536,50942,32084,19090,9383,4856
,,2021,4295846,373305,397534,413710,420753,412594,392132,347303,332908,291197,240308,190613,156809,118919,85018,54276,33563,19867,9880,5157
,,2022,4349811,367938,393135,411132,421075,414343,398731,354796,333926,301386,249383,198672,161132,125003,89395,58034,35165,20678,10401,5486
,,2023,4402267,362683,388341,408249,420590,416118,404065,363675,333763,311163,258458,207498,165293,131215,93786,62089,36965,21545,10930,5841
,,2024,4453233,357583,383224,405077,419419,418221,407734,372669,334666,319306,267732,216582,170062,137102,98405,66209,39071,22498,11461,6212
,,2025,4502713,352674,377864,401589,417674,421297,409096,380884,338000,325165,277243,225603,175914,142409,103366,70260,41540,23550,11988,6597
,,2026,4550668,347985,372440,397665,415448,422549,411033,388361,343407,328783,286961,234608,182743,147183,108647,74266,44353,24708,12526,7002
,,2027,4597105,343530,367095,393257,412842,422874,412823,394947,350865,329844,297054,243540,190572,151346,114313,78195,47521,25958,13095,7434
,,2028,4642138,339324,361857,388454,409931,422384,414633,400284,359691,329739,306735,252474,199140,155360,120099,82149,50932,27365,13704,7883
,,2029,4685782,335361,356772,383328,406726,421199,416761,403976,368633,330680,314807,261602,207962,159956,125587,86313,54401,29006,14370,8342
,,2030,4728027,331617,351881,377956,403200,419438,419842,405386,376808,334016,320628,270967,216724,165581,130548,90781,57823,30925,15099,8807
RR,M,2000,174581,24224,22604,20194,19330,16671,14783,13369,11587,9327,7218,5080,3362,2543,1722,1189,759,382,162,75
,,2001,181839,25159,23465,20941,19988,17456,15283,13789,12121,9789,7674,5500,3607,2641,1830,1200,771,392,159,74
,,2002,188963,25990,24252,21763,20490,18328,15800,14187,12617,10281,8103,5930,3901,2728,1949,1225,782,405,161,71
,,2003,195911,26726,24946,22628,20898,19224,16351,14574,13069,10794,8511,6360,4231,2823,2070,1262,793,416,167,68
,,2004,202653,27380,25520,23469,21329,20050,16953,14968,13481,11307,8910,6787,4580,2954,2177,1317,804,428,173,66
,,2005,209146,27978,25942,24234,21856,20748,17614,15380,13854,11807,9306,7202,4940,3129,2266,1389,817,440,179,65
,,2006,215368,28020,26712,24927,22456,21308,18338,15812,14193,12281,9716,7593,5307,3349,2345,1475,833,451,186,66
,,2007,221280,27973,27369,25532,23128,21696,19141,16258,14510,12711,10154,7951,5680,3611,2415,1568,859,464,192,68
,,2008,226856,27841,27919,26034,23831,21983,19954,16736,14812,13099,10607,8290,6049,3907,2492,1662,895,476,199,70
,,2009,232071,27637,28377,26404,24501,22286,20689,17261,15118,13446,11058,8613,6409,4219,2601,1744,943,487,205,73
,,2010,236911,27373,28772,26618,25085,22681,21284,17840,15442,13750,11497,8928,6754,4539,2747,1812,1003,499,212,75
,,2011,241525,27081,28625,27198,25606,23157,21746,18488,15791,14023,11913,9263,7079,4866,2933,1872,1072,514,220,78
,,2012,246070,26792,28426,27706,26070,23731,22055,19228,16174,14286,12300,9640,7379,5201,3162,1925,1148,538,227,82
,,2013,250545,26512,28184,28150,26467,24366,22283,19999,16607,14548,12656,10045,7670,5533,3426,1986,1224,568,235,86
,,2014,254954,26241,27914,28544,26775,24996,22552,20712,17107,14832,12984,10463,7959,5864,3704,2075,1292,606,243,91
,,2015,259291,25977,27628,28916,26967,25572,22941,21305,17681,15151,13284,10884,8258,6187,3993,2198,1350,650,253,96
,,2016,263544,25711,27336,28765,27550,26102,23423,21775,18336,15504,13561,11290,8584,6497,4289,2356,1400,700,264,101
,,2017,267716,25437,27046,28568,28061,26576,24006,22091,19082,15891,13827,11671,8947,6784,4593,2552,1446,752,280,106
,,2018,271803,25155,26760,28330,28511,26980,24647,22331,19858,16328,14093,12020,9339,7065,4896,2776,1498,807,298,111
,,2019,275810,24866,26484,28061,28914,27296,25285,22609,20576,16830,14381,12345,9742,7341,5199,3012,1573,857,322,117
,,2020,279734,24574,26216,27773,29296,27502,25869,23006,21174,17405,14701,12643,10147,7630,5494,3258,1671,902,349,124
,,2021,283577,24292,25947,27477,29157,28093,26407,23495,21651,18060,15053,12920,10541,7942,5779,3511,1800,940,380,132
,,2022,287346,24027,25671,27182,28966,28616,26888,24085,21975,18804,15439,13187,10911,8290,6043,3772,1957,978,413,142
,,2023,291032,23780,25385,26895,28729,29079,27300,24731,22222,19577,15873,13453,11253,8665,6305,4028,2138,1019,447,153
,,2024,294638,23556,25091,26618,28457,29487,27624,25374,22508,20291,16370,13741,11572,9049,6562,4288,2329,1078,477,166
,,2025,298168,23353,24795,26348,28165,29871,27840,25963,22912,20886,16937,14059,11863,9436,6831,4541,2528,1154,506,180
,,2026,301629,23169,24510,26076,27863,29736,28440,26506,23405,21362,17585,14408,12136,9814,7121,4788,2732,1250,530,198
,,2027,305013,23002,24243,25796,27563,29544,28969,26993,23999,21687,18319,14788,12402,10167,7444,5017,2943,1368,553,216
,,2028,308320,22850,23991,25510,27269,29304,29438,27410,24647,21939,19082,15215,12664,10497,7790,5246,3152,1500,581,235
,,2029,311549,22713,23764,25215,26986,29028,29851,27742,25293,22229,19785,15704,12944,10804,8143,5473,3363,1638,620,254
,,2030,314704,22590,23556,24917,26708,28730,30238,27967,25885,22635,20374,16259,13256,11086,8499,5708,3573,1783,668,272
,F,2000,162248,23860,21779,19197,18741,16286,13910,11775,10160,8007,5818,4019,2718,2050,1447,1111,699,384,189,98
,,2001,169339,24614,22667,19906,19340,17108,14523,12297,10578,8534,6271,4359,2916,2154,1510,1135,740,395,192,100
,,2002,176312,25254,23494,20720,19760,17988,15154,12837,10966,9048,6739,4713,3149,2252,1594,1151,785,410,197,101
,,2003,183124,25787,24229,21597,20079,18870,15810,13390,11342,9537,7216,5084,3412,2355,1689,1167,826,430,202,102
,,2004,189739,26226,24853,22458,20426,19664,16505,13941,11737,9985,7696,5468,3699,2475,1789,1191,863,453,207,103
,,2005,196127,26599,25331,23249,20886,20318,17241,14487,12168,10381,8174,5866,4003,2627,1880,1231,887,483,212,104
,,2006,202266,26630,25935,23974,21440,20819,18019,15041,12619,10739,8642,6277,4321,2811,1970,1284,904,515,220,106
,,2007,208126,26580,26418,24618,22089,21128,18846,15608,13087,11066,9091,6701,4652,3026,2055,1357,916,548,232,108
,,2008,213677,26456,26786,25163,22786,21324,19664,16196,13569,11378,9512,7130,4998,3268,2143,1438,929,581,246,110
,,2009,218898,26266,27050,25585,23455,21546,20386,16822,14042,11709,9889,7559,5355,3530,2247,1524,947,610,263,113
,,2010,223767,26023,27244,25845,24044,21873,20958,17485,14503,12074,10210,7982,5726,3808,2380,1604,979,629,284,116
,,2011,228418,25752,27112,26254,24576,22299,21379,18195,14974,12460,10497,8397,6107,4101,2541,1683,1023,642,305,121
,,2012,233003,25480,26934,26588,25059,22846,21620,18969,15474,12872,10770,8798,6504,4410,2731,1757,1083,653,328,127
,,2013,237527,25216,26717,26850,25481,23468,21769,19750,16010,13311,11041,9177,6913,4738,2948,1835,1152,664,352,135
,,2014,241982,24959,26473,27055,25824,24091,21963,20449,16605,13749,11345,9525,7323,5082,3185,1931,1226,680,373,144
,,2015,246374,24707,26212,27229,26061,24671,22285,21016,17256,14194,11695,9832,7735,5440,3442,2053,1296,708,385,157
,,2016,250685,24454,25936,27097,26474,25210,22719,21440,17962,14661,12075,10113,8145,5809,3716,2198,1364,745,397,170
,,2017,254920,24193,25661,26918,26811,25698,23272,21686,18731,15158,12481,10382,8542,6193,4006,2371,1428,797,408,184
,,2018,259076,23924,25395,26699,27077,26126,23899,21840,19509,15687,12911,10650,8918,6590,4313,2567,1500,853,418,200
,,2019,263153,23648,25136,26452,27286,26479,24528,22038,20204,16275,13344,10948,9263,6990,4637,2782,1584,912,433,214
,,2020,267157,23371,24882,26187,27463,26722,25115,22362,20767,16921,13783,11294,9569,7393,4972,3016,1689,971,454,226
,,2021,271086,23101,24627,25915,27334,27140,25659,22799,21190,17620,14241,11671,9849,7794,5320,3264,1817,1023,484,238
,,2022,274942,22848,24363,25643,27158,27482,26155,23355,21436,18381,14730,12069,10119,8182,5682,3525,1966,1076,522,250
,,2023,278728,22614,24087,25379,26942,27756,26589,23986,21590,19151,15252,12494,10388,8548,6055,3803,2136,1135,560,263
,,2024,282442,22400,23807,25120,26694,27968,26948,24619,21788,19839,15834,12918,10686,8886,6432,4097,2323,1202,602,279
,,2025,286093,22207,23527,24864,26429,28146,27197,25209,22112,20399,16469,13350,11030,9187,6812,4404,2523,1289,643,296
,,2026,289672,22032,23255,24606,26150,28016,27622,25755,22549,20818,17155,13803,11404,9467,7189,4723,2736,1393,681,318
,,2027,293189,21873,23001,24338,25873,27836,27973,26253,23104,21062,17906,14283,11801,9734,7558,5052,2964,1515,719,344
,,2028,296640,21729,22766,24066,25602,27613,28251,26691,23732,21216,18663,14797,12222,10001,7908,5391,3207,1651,763,371
,,2029,300034,21601,22550,23789,25339,27360,28466,27053,24361,21416,19341,15369,12644,10296,8233,5736,3464,1801,814,401
,,2030,303353,21482,22354,23511,25078,27083,28645,27307,24948,21740,19894,15992,13074,10637,8523,6084,3733,1961,877,430
,Total,2000,336829,48084,44383,39391,38071,32957,28693,25144,21747,17334,13036,9099,6080,4593,3169,2300,1458,766,351,173
,,2001,351178,49773,46132,40847,39328,34564,29806,26086,22699,18323,13945,9859,6523,4795,3340,2335,1511,787,351,174
,,2002,365275,51244,47746,42483,40250,36316,30954,27024,23583,19329,14842,10643,7050,4980,3543,2376,1567,815,358,172
,,2003,379035,52513,49175,44225,40977,38094,32161,27964,24411,20331,15727,11444,7643,5178,3759,2429,1619,846,369,170
,,2004,392392,53606,50373,45927,41755,39714,33458,28909,25218,21292,16606,12255,8279,5429,3966,2508,1667,881,380,169
,,2005,405273,54577,51273,47483,42742,41066,34855,29867,26022,22188,17480,13068,8943,5756,4146,2620,1704,923,391,169
,,2006,417634,54650,52647,48901,43896,42127,36357,30853,26812,23020,18358,13870,9628,6160,4315,2759,1737,966,406,172
,,2007,429406,54553,53787,50150,45217,42824,37987,31866,27597,23777,19245,14652,10332,6637,4470,2925,1775,1012,424,176
,,2008,440533,54297,54705,51197,46617,43307,39618,32932,28381,24477,20119,15420,11047,7175,4635,3100,1824,1057,445,180
,,2009,450969,53903,55427,51989,47956,43832,41075,34083,29160,25155,20947,16172,11764,7749,4848,3268,1890,1097,468,186
,,2010,460678,53396,56016,52463,49129,44554,42242,35325,29945,25824,21707,16910,12480,8347,5127,3416,1982,1128,496,191
,,2011,469943,52833,55737,53452,50182,45456,43125,36683,30765,26483,22410,17660,13186,8967,5474,3555,2095,1156,525,199
,,2012,479073,52272,55360,54294,51129,46577,43675,38197,31648,27158,23070,18438,13883,9611,5893,3682,2231,1191,555,209
,,2013,488072,51728,54901,55000,51948,47834,44052,39749,32617,27859,23697,19222,14583,10271,6374,3821,2376,1232,587,221
,,2014,496936,51200,54387,55599,52599,49087,44515,41161,33712,28581,24329,19988,15282,10946,6889,4006,2518,1286,616,235
,,2015,505665,50684,53840,56145,53028,50243,45226,42321,34937,29345,24979,20716,15993,11627,7435,4251,2646,1358,638,253
